cell_number,"Gen# (1 = Female, Male = 2, Unspecified = 3)","Eth# (1 = Asian, 2 = Black, Hispanic = 3, Caucasian/White = 4, Unspecified = 5)","Dis# (1=General, 2 = Breast Cancer, 3 = Prostate Cancer, Lung Cancer = 4, Leukemia/Lymphona=5)",Year,Age,"Contaminated by HeLa or other (1=Yes, contaminated, 0=No, not  contaminated)",Patent Count,Paper Count
KYSE 410,2,1,1,1992,51,0,30,359
U 87 MG,2,4,1,1966,44,0,118,240
MKL 1,2,4,1,1987,26,0,5,1
833 KE,2,5,1,1987,-10,0,921,23
DMS 53,2,5,4,1980,-10,0,620,9
VA ES BJ,2,4,3,1991,41,0,298,84
CFPAC 1,2,4,1,1988,26,0,13145,4731
Hep G 2,2,4,1,1983,15,0,147,2
SNU C 2 B,3,1,1,1985,43,0,5,5
MFE 296,3,5,1,1994,-10,0,23,122
MFM 223,1,4,2,1991,-10,0,1993,4
MIA Pa Ca 2,1,4,1,1975,65,0,289,2036
LNCaP LN 3,2,4,3,0,50,0,0,0
MC 116,2,5,5,1980,-10,0,309,172
LAPC 4,2,5,3,1997,-10,0,70,181
PNT 1 A,2,5,3,1995,35,0,214,3
Shmac 5,2,5,3,2004,-10,0,4,4
WKD,3,2,1,1954,-10,1,0,0
PANC 1,2,4,1,1975,56,0,4674,1021
VP 303,1,5,2,1996,-10,0,0,2
GR M,2,4,1,1995,36,0,804,7
CHP 100,2,5,1,1976,-10,1,268,55
DMS 79,2,4,4,1980,65,0,645,249
HCC 2157,1,2,2,1996,48,0,612,68
COLO 320 HSR,1,4,1,1979,55,0,0,0
HCA 7 Colony 29,1,5,1,0,58,0,403,36
HCC 1419,1,3,2,1994,42,0,158,1
LO 68,3,5,4,1991,-10,0,0,0
NH 17,3,5,5,1983,-10,0,1483,294
COR L 23/R,1,4,4,0,62,0,7933,1616
HCC 1428,1,4,2,1995,49,0,11,9
ChaGo K 1,2,5,4,1973,45,0,211,324
1321 N 1,2,4,1,1972,50,0,19,1
HCT 8,2,5,1,1974,67,0,217,4
Sci 1,3,5,5,1987,-10,0,10,7
DUCaP,2,5,3,2001,-10,0,605,38
CHP 134,2,5,1,1976,1.5,0,537,95
EB 3,2,4,5,1964,3,0,132,4
ECV 304,1,1,1,1984,0,1,206,4
EJ 138,1,5,1,1978,-10,0,227,32
EoL 1,3,5,5,1992,-10,0,396,64
Evsa T,1,5,2,1976,-10,0,6291,1095
F 36 P,2,5,5,1991,-10,0,3572,770
DAUDI,2,2,5,1967,16,0,186,7
FL,3,5,5,0,-10,1,224,23
FLYA 13,2,4,1,0,35,0,402,29
PC 346C,2,5,3,2006,-10,0,9345,17783
MES SA Dx 5,3,5,1,0,-10,0,7,0
PEO 14,3,5,1,1988,-10,0,3004,98
HCC 1428,1,4,2,1995,49,0,1646,277
LNCaP FGC,2,4,3,0,50,0,0,0
MDA MB 157,1,2,2,1974,44,0,6065,813
PEO 23,3,5,1,1988,-10,0,16352,1314
MEWO,2,4,1,1974,78,0,2,0
1411 H,3,5,1,1985,-10,0,0,0
HCC 2218,1,4,2,1996,38,0,17330,3586
MM 127,3,5,1,1973,-10,0,123,10
ML 1,2,5,5,1978,24,0,640,160
CALU 1,2,4,4,1975,47,0,6132,864
LoVo,2,5,1,1971,56,0,0,0
HT 55,3,5,1,1977,-10,0,0,1
LC 2/ad,1,1,4,1993,51,0,0,2
JIYOYE,2,2,5,1967,7,0,0,19
T 47 D KBluc,3,5,2,0,54,0,68,210
HEPM,1,5,1,1981,-10,0,40,101
RPMI 2650,2,5,1,1964,52,0,76,1
RPMI 8226,2,5,1,1966,61,0,72,1
RAJI,2,2,5,1963,11,0,0,0
A 673,1,5,1,1973,15,0,1,1
WiDr,1,5,1,0,-10,1,119,1
WPE int,2,4,3,0,54,0,0,0
WPE stem,2,4,3,0,54,0,0,0
TSU Pr1,3,1,3,1987,-10,1,15,1
HSG,2,1,1,1981,41,1,4,11
KYSE 70,2,1,1,1992,77,0,753,1461
UM RC 3,3,5,1,1985,-10,0,0,6
UM SCP 1,2,5,3,1984,-10,0,0,4
UM UC 1,3,2,1,1984,-10,0,0,2
NTERA 2,2,4,1,1980,22,0,23,3
WPE 1 NB 14,2,4,3,1994,54,0,0,0
WPE 1 NB 26,2,4,3,1994,54,0,0,0
AU 565,1,4,2,1990,43,0,0,0
RPMI 8866,1,5,5,1967,51,0,298,65
WM 115,1,5,1,1985,58,0,347,22
JU 77,3,4,1,1991,33,0,5,41
Jurkat E 6 1,2,5,5,1980,-10,0,0,79
JVM 2,1,4,5,1986,63,0,0,87
K 1,3,5,1,1993,-10,0,0,111
C 4 I,1,4,1,0,41,0,0,0
C 4 II,1,4,1,0,41,0,0,68
C 8166,3,5,5,1983,-10,0,0,93
MB 157,2,2,2,1974,44,0,5,134
Namalwa,1,5,5,1972,3,0,84,13
DBTRG 05 MG,1,4,1,1992,59,0,749,232
HCC 1008,1,2,5,1988,67,0,2684,4440
A 431,1,5,1,1973,85,0,244,278
