Gen,Eth,Dis,year,count(*)
3,1,1,2011,5
3,1,1,2012,2
3,1,1,2013,2
3,1,1,2014,8
3,2,1,2003,1
3,4,1,NULL,81
3,4,1,1972,2
3,4,1,1973,4
3,4,1,1974,3
3,4,1,1976,2
3,4,1,1977,1
3,4,1,1978,5
3,4,1,1979,9
3,4,1,1980,9
3,4,1,1981,23
3,4,1,1982,43
3,4,1,1983,65
3,4,1,1984,44
3,4,1,1985,25
3,4,1,1986,49
3,4,1,1987,26
3,4,1,1988,74
3,4,1,1989,57
3,4,1,1990,47
3,4,1,1991,46
3,4,1,1992,87
3,4,1,1993,92
3,4,1,1994,67
3,4,1,1995,148
3,4,1,1996,95
3,4,1,1997,125
3,4,1,1998,118
3,4,1,1999,30
3,4,1,2000,72
3,4,1,2001,133
3,4,1,2002,72
3,4,1,2003,107
3,4,1,2004,135
3,4,1,2005,245
3,4,1,2006,210
3,4,1,2007,199
3,4,1,2008,526
3,4,1,2009,593
3,4,1,2010,683
3,4,1,2011,662
3,4,1,2012,732
3,4,1,2013,635
3,4,1,2014,315
3,4,5,1998,4
3,5,1,NULL,31
3,5,1,1968,1
3,5,1,1969,2
3,5,1,1973,1
3,5,1,1974,3
3,5,1,1978,4
3,5,1,1979,4
3,5,1,1980,1
3,5,1,1981,2
3,5,1,1982,9
3,5,1,1983,12
3,5,1,1984,3
3,5,1,1985,3
3,5,1,1987,3
3,5,1,1988,2
3,5,1,1989,5
3,5,1,1990,2
3,5,1,1991,4
3,5,1,1992,1
3,5,1,1993,2
3,5,1,1994,43
3,5,1,1995,30
3,5,1,1996,33
3,5,1,1997,18
3,5,1,1998,67
3,5,1,1999,39
3,5,1,2000,39
3,5,1,2001,94
3,5,1,2002,27
3,5,1,2003,47
3,5,1,2004,91
3,5,1,2005,42
3,5,1,2006,76
3,5,1,2007,41
3,5,1,2008,87
3,5,1,2009,176
3,5,1,2010,155
3,5,1,2011,283
3,5,1,2012,247
3,5,1,2013,212
3,5,1,2014,36
3,5,2,2005,1
3,5,2,2007,1
3,5,2,2009,4
3,5,2,2010,1
3,5,2,2012,5
3,5,2,2013,4
3,5,4,1992,6
3,5,4,1993,1
3,5,4,1995,1
3,5,4,1998,6
3,5,4,1999,21
3,5,4,2001,1
3,5,4,2003,16
3,5,4,2004,30
3,5,4,2005,1
3,5,4,2006,15
3,5,4,2007,118
3,5,4,2008,16
3,5,4,2009,22
3,5,4,2010,39
3,5,4,2011,18
3,5,4,2012,34
3,5,4,2013,232
3,5,4,2014,20
3,5,5,2005,4
3,5,5,2009,1
3,5,5,2010,3
3,5,5,2012,2
3,5,5,2013,2
3,1,1,2002,1
1,1,1,2005,1
1,1,2,2005,1
2,1,5,2005,1
1,1,1,2006,1
3,1,3,2010,1
1,2,2,1981,1
2,2,2,1982,1
2,2,2,1986,1
2,2,2,1987,1
3,2,1,1994,1
1,2,2,2000,1
1,2,5,2000,1
3,2,1,2003,1
2,2,5,2005,1
2,2,2,2006,1
2,2,3,2006,1
2,2,3,2009,1
2,2,5,2011,1
2,2,2,2012,1
1,2,4,2014,1
1,2,5,2014,1
2,4,3,1957,1
1,4,5,1969,1
2,4,5,1972,1
2,4,3,1975,1
1,4,5,1976,1
1,4,1,1977,1
1,4,5,1977,1
2,4,3,1977,1
3,4,1,1977,1
1,4,1,1978,1
1,4,1,1980,1
2,4,5,1980,1
2,4,5,1983,1
2,4,1,1985,1
2,4,5,1990,1
1,4,4,1998,1
3,5,1,1968,1
2,5,5,1969,1
1,5,5,1970,1
2,5,3,1974,1
1,5,1,1975,1
3,5,1,1975,1
1,5,1,1980,1
