"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined)
1,1,6,2,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,5,0,56,-10
1,1,6,0,36,-10
1,1,2,0,47,-10
1,1,1,0,65,-10
1,1,5,0,42,-10
1,1,6,0,48,-10
1,1,6,0,37,-10
1,1,5,0,64,-10
1,1,5,0,16,-10
1,1,2,1,26,-10
1,1,3,3,32,-10
1,1,2,0,60,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,5,0,65,-10
1,1,5,0,-10,-10
1,1,6,0,46,-10
1,1,1,1,50,-10
1,1,6,4,47,-10
1,1,1,0,54,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,34,-10
1,1,1,0,88,-10
1,1,1,0,56,-10
1,1,1,0,67,-10
1,1,1,0,45,-10
1,1,1,0,48,-10
1,1,1,0,44,-10
1,1,6,0,69,-10
1,1,1,0,-10,-10
1,1,5,1,12,-10
1,1,1,0,52,-10
1,1,6,1,64,-10
1,1,5,4,60,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,1,0,58,-10
1,1,5,1,60,-10
1,1,5,0,64,-10
1,1,6,0,50,-10
1,1,6,0,46,-10
1,1,6,0,52,-10
1,1,6,0,78,-10
1,1,6,0,-10,-10
1,1,6,1,-10,-10
1,1,6,0,-10,-10
1,1,5,0,60,-10
1,1,6,0,-10,-10
1,1,6,4,64,-10
1,1,6,1,-10,-10
1,1,1,0,40,-10
1,1,1,0,40,-10
1,1,1,0,51,-10
1,1,1,1,46,-10
1,1,1,0,46,-10
1,1,1,0,56,-10
1,1,1,4,64,-10
1,1,1,0,78,-10
1,1,5,1,12,-10
1,1,6,2,-10,-10
1,1,6,2,-10,-10
1,1,6,2,-10,-10
1,1,6,2,-10,-10
1,1,6,0,-10,-10
1,1,6,2,-10,-10
1,1,6,2,-10,-10
1,1,6,2,-10,-10
1,1,1,0,45,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,1,0,62,-10
1,1,5,4,64,-10
1,1,5,0,46,-10
1,1,5,0,42,-10
1,1,6,0,-10,-10
1,1,6,0,56,-10
1,1,5,4,62,-10
1,1,6,0,61,-10
1,1,5,4,64,-10
1,1,1,0,65,-10
1,1,5,4,62,-10
1,1,6,0,44,-10
1,1,6,2,64,-10
1,1,6,2,64,-10
1,1,5,0,70,-10
1,1,5,0,64,-10
1,1,5,0,65,-10
1,1,5,0,77,-10
1,1,5,0,57,-10
1,1,1,0,68,-10
1,1,1,0,0.3,-10
1,1,1,0,-10,-10
1,1,1,0,34,-10
1,1,5,0,0.8,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,1,0,-10,-10
1,1,6,5,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,61,-10
1,1,5,0,37,-10
1,1,5,0,0.3,-10
1,1,5,0,70,-10
1,1,5,1,7,-10
1,1,6,0,7,-10
1,1,5,4,7,-10
1,1,5,0,-10,-10
1,1,5,2,7,-10
1,1,2,0,14,-10
1,1,5,1,7,-10
1,1,5,0,7,-10
1,1,5,1,7,-10
1,1,6,1,1,-10
1,1,6,0,15,-10
1,1,1,0,16,-10
1,1,6,1,1,-10
1,1,1,0,42,-10
1,1,6,0,0.3,-10
1,1,6,0,-10,-10
1,1,5,0,36,-10
1,1,5,0,36,-10
1,1,1,0,26,-10
1,1,6,4,54,-10
1,1,6,2,85,-10
1,1,1,0,39,-10
1,1,6,4,54,-10
1,1,6,0,53,-10
1,1,6,0,52,-10
1,1,6,0,15,-10
1,1,1,0,39,-10
1,1,6,0,30,-10
1,1,1,4,87,-10
1,1,5,0,56,-10
1,1,6,0,52,-10
1,1,5,1,20,-10
1,1,2,0,46,-10
1,1,6,0,65,-10
1,1,6,0,70,-10
1,1,6,0,42,-10
1,1,6,0,-10,-10
1,1,6,0,18,-10
1,1,5,0,46,-10
1,1,5,0,57,-10
1,1,5,0,37,-10
1,1,5,0,34,-10
1,1,5,0,31,-10
1,1,5,0,9,-10
1,1,5,0,42,-10
1,1,2,0,39,-10
1,1,5,0,59,-10
1,1,5,0,20,-10
1,1,5,0,52,-10
1,1,5,0,37,-10
1,1,6,0,40,-10
1,1,6,0,44,-10
1,1,5,0,59,-10
1,1,6,0,46,-10
1,1,2,0,42,-10
1,1,2,0,18,-10
1,1,2,0,52,-10
1,1,2,0,0.1,-10
1,1,6,0,0,-10
1,1,5,0,66,-10
1,1,2,0,22,-10
1,1,6,0,54,-10
1,1,1,0,-10,-10
1,1,6,1,57,-10
1,1,5,0,-10,-10
1,1,1,0,2,-10
1,1,6,0,47,-10
1,1,6,0,48,-10
1,1,5,0,-10,-10
1,1,6,0,2,-10
1,1,6,0,-10,-10
1,1,6,0,8,-10
1,1,6,0,15,-10
1,1,5,0,0.8,-10
1,1,5,0,3.5,-10
1,1,5,0,2.5,-10
1,1,6,0,-10,-10
1,1,5,0,-10,-10
1,1,5,0,-10,-10
1,1,5,0,-10,-10
1,1,5,0,-10,-10
1,1,1,4,87,-10
1,1,6,4,54,-10
1,1,6,0,31,-10
1,1,1,0,-10,-10
1,1,1,0,37,-10
1,1,1,0,46,-10
1,1,1,0,48,-10
1,1,1,0,55,-10
1,1,6,0,39,-10
1,1,6,0,25,-10
1,1,1,0,86,-10
1,1,6,0,63,-10
1,1,1,0,1.3,-10
1,1,6,0,-10,-10
1,1,5,0,48,-10
1,1,5,0,17,-10
1,1,5,0,6,-10
1,1,6,0,60,-10
1,1,1,0,-10,-10
1,1,6,2,-10,-10
1,1,1,0,77,-10
1,1,6,1,57,-10
1,1,6,0,65,-10
1,1,2,0,83,-10
1,1,2,0,56,-10
1,1,5,0,80,-10
1,1,5,0,80,-10
1,1,2,0,13,-10
1,1,5,0,61,-10
1,1,2,0,34,-10
1,1,5,0,13,-10
1,1,5,0,71,-10
1,1,5,0,67,-10
1,1,5,0,50,-10
1,1,5,0,42,-10
1,1,5,0,59,-10
1,1,5,0,16,-10
1,1,5,0,57,-10
1,1,5,0,48,-10
1,1,5,0,48,-10
1,1,5,0,57,-10
1,1,5,5,58,-10
1,1,5,5,58,-10
1,1,5,0,34,-10
1,1,5,5,58,-10
1,1,5,1,58,-10
1,1,5,0,24,-10
1,1,1,0,-10,-10
1,1,1,0,71,-10
1,1,6,0,35,-10
1,1,6,0,64,-10
1,1,6,0,27,-10
1,1,6,0,14,-10
1,1,2,0,35,-10
1,1,6,0,47,-10
1,1,6,0,2,-10
1,1,6,0,62,-10
1,1,6,0,60,-10
1,1,6,0,50,-10
1,1,6,0,6,-10
1,1,6,0,2,-10
1,1,6,0,15,-10
1,1,6,0,40,-10
1,1,6,0,29,-10
1,1,6,0,13,-10
1,1,5,2,31,-10
1,1,6,1,-10,-10
1,1,6,0,58,-10
1,1,1,4,39,-10
1,1,1,0,39,-10
1,1,1,0,1,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,6,0,16,-10
1,1,6,0,-10,-10
1,1,6,0,6,-10
1,1,6,0,6,-10
1,1,6,0,7,-10
1,1,1,0,26,-10
1,1,6,0,8,-10
1,1,1,0,37,-10
1,1,6,0,21,-10
1,1,6,0,65,-10
1,1,6,0,79,-10
1,1,6,0,34,-10
1,1,6,1,57,-10
1,1,5,0,18,-10
1,1,6,0,7,-10
1,1,6,0,22,-10
1,1,1,2,55,-10
1,1,1,0,40,-10
1,1,1,0,54,-10
1,1,1,0,14,-10
1,1,1,2,55,-10
1,1,1,0,54,-10
1,1,1,0,55,-10
1,1,1,0,54,-10
1,1,1,2,52,-10
1,1,1,2,52,-10
1,1,1,0,72,-10
1,1,1,0,38,-10
1,1,1,0,70,-10
1,1,1,0,60,-10
1,1,1,0,41,-10
1,1,1,0,51,-10
1,1,1,0,60,-10
1,1,1,0,47,-10
1,1,1,0,57,-10
1,1,1,0,52,-10
1,1,1,0,62,-10
1,1,1,0,58,-10
1,1,1,0,55,-10
1,1,1,0,45,-10
1,1,1,0,53,-10
1,1,1,0,38,-10
1,1,1,0,89,-10
1,1,5,0,60,-10
1,1,5,0,42,-10
1,1,6,0,-10,-10
1,1,5,0,24,-10
1,1,6,0,6,-10
1,1,6,5,-10,-10
1,1,6,5,-10,-10
1,1,5,0,1,-10
1,1,1,0,97,-10
1,1,1,0,40,-10
1,1,1,0,39,-10
1,1,1,0,33,-10
1,1,1,0,34,-10
1,1,6,0,40,-10
1,1,1,0,21,-10
1,1,1,0,6,-10
1,1,6,0,45,-10
1,1,6,2,58,-10
1,1,6,2,58,-10
1,1,6,0,-10,-10
1,1,6,0,23,-10
1,1,2,0,0.2,-10
1,1,1,0,25,-10
1,1,1,0,42,-10
1,1,1,0,52,-10
1,1,2,0,55,-10
1,1,5,0,54,-10
1,1,1,0,-10,-10
1,1,6,2,62,-10
1,1,1,0,27,-10
1,1,6,2,62,-10
1,1,6,0,36,-10
1,1,6,0,56,-10
1,1,6,0,35,-10
1,1,1,0,38,-10
1,1,6,0,33,-10
1,1,1,0,46,-10
1,1,1,0,33,-10
1,1,6,0,60,-10
1,1,6,0,59,-10
1,1,1,0,72,-10
1,1,1,0,53,-10
1,1,5,0,12,-10
1,1,5,0,0.3,-10
1,1,5,1,13,-10
1,1,1,0,22,-10
1,1,6,0,67,-10
1,1,6,0,78,-10
1,1,1,0,68,-10
1,1,6,0,76,-10
1,1,6,0,63,-10
1,1,6,0,70,-10
1,1,1,2,70,-10
1,1,6,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,44,-10
1,1,6,0,50,-10
1,1,6,0,-10,-10
1,1,6,0,47,-10
1,1,1,2,70,-10
1,1,1,0,71,-10
1,1,5,0,77,-10
1,1,5,0,-10,-10
1,1,5,0,0.3,-10
1,1,5,0,0.3,-10
1,1,1,0,59,-10
1,1,6,0,67,-10
1,1,2,0,0.2,-10
1,1,5,0,0.3,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,6,5,-10,-10
1,1,6,1,57,-10
1,1,2,0,49,-10
1,1,5,0,58,-10
1,1,5,0,67,-10
1,1,2,0,13,-10
1,1,5,0,81,-10
1,1,5,0,29,-10
1,1,2,0,16,-10
1,1,6,0,54,-10
1,1,6,0,8,-10
1,1,2,0,59,-10
1,1,5,0,82,-10
1,1,1,0,51,-10
1,1,6,0,80,-10
1,1,5,4,81,-10
1,1,5,4,81,-10
1,1,6,0,71,-10
1,1,5,0,67,-10
1,1,5,0,58,-10
1,1,6,0,-10,-10
1,1,5,0,84,-10
1,1,5,0,80,-10
1,1,5,4,81,-10
1,1,5,2,81,-10
1,1,6,0,67,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,5,0,55,-10
1,1,6,1,63,-10
1,1,6,1,63,-10
1,1,6,1,39,-10
1,1,5,0,69,-10
1,1,1,0,50,-10
1,1,5,0,76,-10
1,1,2,0,61,-10
1,1,6,0,75,-10
1,1,5,0,62,-10
1,1,2,0,60,-10
1,1,5,0,54,-10
1,1,5,0,64,-10
1,1,6,2,71,-10
1,1,6,2,71,-10
1,1,6,2,71,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,54,-10
1,1,1,0,31,-10
1,1,6,0,55,-10
1,1,6,0,66,-10
1,1,6,4,39,-10
1,1,1,0,56,-10
1,1,1,0,-10,-10
1,1,1,0,56,-10
1,1,1,0,56,-10
1,1,1,0,44,-10
1,1,1,0,62,-10
1,1,1,0,60,-10
1,1,1,0,58,-10
1,1,5,0,64,-10
1,1,5,0,56,-10
1,1,6,0,77,-10
1,1,5,0,68,-10
1,1,6,0,81,-10
1,1,6,0,-10,-10
1,1,1,0,59,-10
1,1,1,0,55,-10
1,1,5,0,65,-10
1,1,1,0,67,-10
1,1,5,0,75,-10
1,1,5,0,75,-10
1,1,6,0,-10,-10
1,1,6,4,43,-10
1,1,1,0,52,-10
1,1,1,0,74,-10
1,1,1,0,27,-10
1,1,6,0,32,-10
1,1,5,0,43,-10
1,1,5,0,86,-10
1,1,5,0,64,-10
1,2,5,0,67,-10
1,2,6,0,0.8,-10
1,2,1,0,69,-10
1,2,6,0,2,-10
1,2,5,0,52,-10
1,2,1,0,71,-10
1,2,1,0,63,-10
1,2,5,0,68,-10
1,2,5,0,68,-10
1,2,6,4,-10,-10
1,2,1,0,66,-10
1,2,5,0,50,-10
1,2,5,0,44,-10
1,2,5,4,58,-10
1,2,2,0,58,-10
1,2,6,0,15,-10
1,2,6,0,12,-10
1,2,2,2,7,-10
1,2,2,2,7,-10
1,2,6,0,-10,-10
1,2,6,0,-10,-10
1,2,2,1,7,-10
1,2,2,2,7,-10
1,2,6,0,-10,-10
1,2,6,4,1,-10
